Perro	Glucosa	ALT
1	88	60
2	104	79
3	89	138
4	99	58
5	63	34
6	97	43
7	94	47
8	105	77
9	86	102
10	124	34
11	118	64
12	112	184
13	85	82
14	109	35
15	96	46
16	72	29
17	91	117
18	94	132
19	90	68
20	68	50
21	84	95
22	94	140
23	91	38
24	90	146
25	72	68
26	87	42
27	94	43
28	97	84
29	103	44
30	70	84
31	91	108
32	58	28
33	89	75
34	81	38
35	106	38
36	94	26
37	57	89
38	67	35
39	93	69
40	89	44
41	80	47
42	112	41
43	86	53
44	86	50
45	115	72
46	98	59
47	98	80
48	99	42
49	94	42
50	104	116
51	107	98
52	107	78
53	119	56
54	114	38
55	94	50
56	109	47
57	110	32
58	99	53
59	105	97
60	102	97
61	100	54
62	83	36
63	83	32
64	108	111
65	114	63
66	105	58
67	74	24
68	92	96
69	97	42
70	85	101
71	83	46
72	86	58
73	110	29
74	121	115
75	87	62
76	88	40
77	114	78
78	96	83
79	107	26
80	101	19
81	90	105
82	110	133
83	65	56
84	95	70
85	110	54
86	78	54
87	95	37
88	111	25
89	116	115
90	108	60
91	76	36
92	111	102
93	86	62
94	101	43
95	106	73
96	92	99
97	67	50
98	75	24
99	127	110
100	87	65
101	136	44
102	94	40
103	89	18
104	72	30
105	87	75
106	96	66
107	85	113
108	95	63
109	96	61
110	117	62
111	106	33
112	113	99
113	107	97
114	96	131
115	94	44
116	100	68
117	127	37
118	106	52
119	93	113
120	99	142
121	94	45
122	82	80
123	130	53
124	76	87
125	99	36
126	81	31
127	108	105
128	90	32
129	100	25
130	96	46
131	86	95
132	100	99
133	122	115
134	109	60
135	77	67
136	88	83
137	94	118
138	92	44
139	121	64
140	86	19
141	84	68
142	86	74
143	105	86
144	91	47
145	92	56
146	89	49
147	123	78
148	109	93
149	117	46
150	115	31
151	83	65
152	94	55
153	92	52
154	109	64
155	92	59
156	93	49
157	92	29
158	101	66
159	113	53
160	92	79
161	110	47
162	116	46
163	111	137
164	111	57
165	70	49
166	94	80
167	106	53
168	102	128
